evento,valor,tipo,mes_ano,fonte,Saldo Anterior (R$),Débitos (R$),Créditos (R$)
Pg.adto.salário,600.0,DESPESA,2022-09,XLSX,,,
Pg.pis/Cofins/Csll,283.18,DESPESA,2022-09,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1987.42,DESPESA,2022-09,XLSX,,,
Pg.pis,40.77,DESPESA,2022-09,XLSX,,,
Pg. Irrf,14.9,DESPESA,2022-09,XLSX,,,
Pg.síndico Prof.,1750.0,DESPESA,2022-09,XLSX,,,
Pg.secovimed,152.05,DESPESA,2022-09,XLSX,,,
Taxa Auxiliar Administracao,1096.2,DESPESA,2022-09,XLSX,,,
Reemb.mat.expediente,109.62,DESPESA,2022-09,XLSX,,,
Pg.vale Transporte,1443.6,DESPESA,2022-09,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2022-09,XLSX,,,
Pg.seg.vida Func.09/2022,252.03,DESPESA,2022-09,XLSX,,,
Pg.salário,2580.46,DESPESA,2022-09,XLSX,,,
Pg.folha Func.bco.,18.0,DESPESA,2022-09,XLSX,,,
Adto.13º Salário,933.75,DESPESA,2022-09,XLSX,,,
Água,7906.78,DESPESA,2022-09,XLSX,,,
Pg.ceee,1752.6,DESPESA,2022-09,XLSX,,,
Peças Elevador,1226.65,DESPESA,2022-09,XLSX,,,
Pg.manut.elevador,705.6,DESPESA,2022-09,XLSX,,,
Pg.equipamentos,15570.0,DESPESA,2022-09,XLSX,,,
Pg.manutenção,3900.0,DESPESA,2022-09,XLSX,,,
Pg.materiais,3731.72,DESPESA,2022-09,XLSX,,,
Pg.reparos,450.0,DESPESA,2022-09,XLSX,,,
Pg.impermeabilização,20286.0,DESPESA,2022-09,XLSX,,,
Pg.mat.limpeza,308.4,DESPESA,2022-09,XLSX,,,
Pg.reg.imóveis,85.8,DESPESA,2022-09,XLSX,,,
Pg.issqn,413.3,DESPESA,2022-09,XLSX,,,
Retirada P/Posterior Acerto,1750.0,DESPESA,2022-09,XLSX,,,
Pg.transações Bco.ted/Doc,35.1,DESPESA,2022-09,XLSX,,,
Pg.desp.cartório,35.64,DESPESA,2022-09,XLSX,,,
Pg.declaração Pmpa/Issqndec,29.0,DESPESA,2022-09,XLSX,,,
Pg.emissão Darf/Impostos,35.0,DESPESA,2022-09,XLSX,,,
Pg.efd-Reinf/E-Social,27.0,DESPESA,2022-09,XLSX,,,
Valor,114.49,DESPESA,2022-09,XLSX,,,
Pg.tarifa Banco Cobrança,549.0,DESPESA,2022-09,XLSX,,,
Pg.seguro Incêndio,981.25,DESPESA,2022-09,XLSX,,,
Pg.remessa Doctos.,177.2,DESPESA,2022-09,XLSX,,,
Subtotal,93124.7,DESPESA,2022-09,XLSX,,,
Outros Eventos,60042.93,RECEITA,2022-10,XLSX,,,
Rec.cond.estacionamento,800.0,RECEITA,2022-10,XLSX,,,
Fundo Obras,3529.2,RECEITA,2022-10,XLSX,,,
Rec.condomínio,55203.73,RECEITA,2022-10,XLSX,,,
Rec.alug.depósito,120.0,RECEITA,2022-10,XLSX,,,
Rec.taxa Uso Box,390.0,RECEITA,2022-10,XLSX,,,
Rec.multa+C.m.+Jrs.,42.73,RECEITA,2022-10,XLSX,,,
Rec. Multa,90.55,RECEITA,2022-10,XLSX,,,
13º Salario,52.65,RECEITA,2022-10,XLSX,,,
Subtotal,60228.86,RECEITA,2022-10,XLSX,,,
Pg.serv.portaria,16660.0,DESPESA,2022-10,XLSX,,,
Pg.serv.limp.,4606.0,DESPESA,2022-10,XLSX,,,
Pg.fgts,439.58,DESPESA,2022-10,XLSX,,,
Pg.adto.salário,600.0,DESPESA,2022-10,XLSX,,,
Pg.pis/Cofins/Csll,61.38,DESPESA,2022-10,XLSX,,,
Pg.darf Inss(E-Social/Reinf),1709.79,DESPESA,2022-10,XLSX,,,
Pg.pis,36.63,DESPESA,2022-10,XLSX,,,
Pg.secovimed,160.05,DESPESA,2022-10,XLSX,,,
Pg.vale Transporte,1386.2,DESPESA,2022-10,XLSX,,,
Pg.vale Refeição/Alimentação,200.0,DESPESA,2022-10,XLSX,,,
