evento,valor,tipo,mes_ano,macro_categoria
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2022-12,Taxas e Impostos
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2022-12,Pessoal
 Pg.efd-Reinf/E-Social ,27.0,DESPESA,2022-12,Pessoal
 Pg.tarifa Banco Cobrança ,549.0,DESPESA,2022-12,Administração
 Pg. ,46.0,DESPESA,2022-12,Outros
 Pg.seg.vida Func.12/2022 ,274.02,DESPESA,2022-12,Pessoal
 Valor ,1905.83,DESPESA,2022-12,Outros
 Pg.mat.limpeza ,861.68,DESPESA,2022-12,Utilidades
 Pg.vale Transporte ,1501.0,DESPESA,2022-12,Pessoal
 Pg.vale Refeição/Alimentação ,200.0,DESPESA,2022-12,Pessoal
 Rec.condomínio ,55297.93,RECEITA,2022-12,Receitas Condominiais
 Fundo Obras ,3620.98,RECEITA,2022-12,Fundos
 Pg.salário ,2581.46,DESPESA,2022-12,Pessoal
 Rec.alug.depósito ,100.0,RECEITA,2022-12,Fundos
 Rec.cond.estacionamento ,760.0,RECEITA,2022-12,Receitas Condominiais
 Rec.taxa Uso Box ,390.0,RECEITA,2022-12,Fundos
 Rec.multa+C.m.+Jrs. ,68.9,RECEITA,2022-12,Receitas Condominiais
 Rec. Multa ,70.56,RECEITA,2022-12,Receitas Condominiais
 Rec.ch.extra Férias ,162.81,RECEITA,2022-12,Fundos
 Valor ,1905.83,RECEITA,2022-12,Outros
 Pg.síndico Prof. ,1750.0,DESPESA,2022-12,Pessoal
 Pg.serv.portaria ,16660.0,DESPESA,2022-12,Utilidades
 13º Salario ,2341.34,RECEITA,2022-12,Pessoal
 Pg.fgts ,293.05,DESPESA,2022-12,Pessoal
 Pg.folha Func.bco. ,27.0,DESPESA,2022-12,Administração
 Pg.serv.limp. ,4606.0,DESPESA,2022-12,Utilidades
 Taxa Auxiliar Administracao ,1096.2,DESPESA,2022-12,Administração
 Pg.secovimed ,160.05,DESPESA,2022-12,Taxas e Impostos
 Pg.pis ,36.63,DESPESA,2022-12,Pessoal
 Reemb.mat.expediente ,109.62,DESPESA,2022-12,Administração
 Pg.inss S/13º Sal. ,1227.39,DESPESA,2022-12,Pessoal
 Pg.pis/Cofins/Csll ,61.38,DESPESA,2022-12,Pessoal
 Pg.2º Parc.13º Sal./2022 ,1538.27,DESPESA,2022-12,Pessoal
 Pg.adto.salário ,600.0,DESPESA,2022-12,Pessoal
 Pg.darf Inss(E-Social/Reinf) ,1747.39,DESPESA,2022-12,Pessoal
 Pg.materiais ,1689.0,DESPESA,2023-01,Outros
 Pg.seg.vida Func.01/2023 ,274.02,DESPESA,2023-01,Pessoal
 Pg.assemb.ordin. ,204.7,DESPESA,2023-01,Outros
 Água ,10750.86,DESPESA,2023-01,Outros
 Pg.ceee ,1767.59,DESPESA,2023-01,Utilidades
 Pg.manut.elevador ,802.12,DESPESA,2023-01,Manutenção
 Pg.instalação ,822.15,DESPESA,2023-01,Manutenção
 Pg.desentupidora ,3498.06,DESPESA,2023-01,Outros
 Pg.impermeabilização ,3264.48,DESPESA,2023-01,Outros
 Pg.reforma ,9149.08,DESPESA,2023-01,Manutenção
 Pg.salário ,2617.58,DESPESA,2023-01,Pessoal
 Valor ,13300.0,DESPESA,2023-01,Outros
 Pg.transações Bco.ted/Doc ,24.3,DESPESA,2023-01,Taxas e Impostos
 Pg.issqn ,529.36,DESPESA,2023-01,Taxas e Impostos
 Pg.declaração Pmpa/Issqndec ,29.0,DESPESA,2023-01,Taxas e Impostos
 Pg.emissão Darf/Impostos ,35.0,DESPESA,2023-01,Pessoal
 Retirada P/Posterior Acerto ,1800.0,DESPESA,2023-01,Retiradas/Acerto
 Pg.efd-Reinf/E-Social ,27.0,DESPESA,2023-01,Pessoal
 Pg.tarifa Banco Cobrança ,549.0,DESPESA,2023-01,Administração
 Pg.impressões/Fotoc. ,37.5,DESPESA,2023-01,Administração
 Pg.remessa Doctos. ,214.2,DESPESA,2023-01,Administração
 Pg.mat.pintura ,535.04,DESPESA,2023-01,Manutenção
 Pg.folha Func.bco. ,18.0,DESPESA,2023-01,Administração
 Fundo Obras ,3454.12,RECEITA,2023-01,Fundos
 Pg.vale Transporte ,754.8,DESPESA,2023-01,Pessoal
 Pg.vale Refeição/Alimentação ,200.0,DESPESA,2023-01,Pessoal
 Rec.condomínio ,54265.99,RECEITA,2023-01,Receitas Condominiais
 Rec.alug.depósito ,90.0,RECEITA,2023-01,Fundos
 Rec.cond.estacionamento ,760.0,RECEITA,2023-01,Receitas Condominiais
 Rec.taxa Uso Box ,190.0,RECEITA,2023-01,Fundos
 Rec. Multa ,75.39,RECEITA,2023-01,Receitas Condominiais
 Rec.multa+C.m.+Jrs. ,78.88,RECEITA,2023-01,Receitas Condominiais
