mes_ano,valor,historico,source
2025-08,1.98,FUNDO OBRAS,xls
2025-08,2.12,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,51.94,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,2.07,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,2.82,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,3.17,FUNDO OBRAS,xls
2025-08,24.84,TELHADO,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,3.1,FUNDO OBRAS,xls
2025-08,24.84,TELHADO,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.06,FUNDO OBRAS,xls
2025-08,5.61,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,2.17,FUNDO OBRAS,xls
2025-08,1.98,FUNDO OBRAS,xls
2025-08,2.28,FUNDO OBRAS,xls
2025-08,2.04,FUNDO OBRAS,xls
2025-08,10.0,REC.ALUG.DEPÓSITO,xls
2025-08,10.0,REC.ALUG.DEPÓSITO,xls
2025-08,20.0,REC.ALUG.DEPÓSITO,xls
2025-08,20.0,REC.ALUG.DEPÓSITO,xls
2025-08,10.0,REC.ALUG.DEPÓSITO,xls
2025-08,10.0,REC.ALUG.DEPÓSITO,xls
2025-08,290.0,REC.TAXA USO BOX,xls
2025-08,10.0,REC.ALUG.DEPÓSITO,xls
2025-08,290.0,REC.TAXA USO BOX,xls
2025-08,290.0,REC.TAXA USO BOX,xls
2025-08,290.0,REC.TAXA USO BOX,xls
2025-08,290.0,REC.TAXA USO BOX,xls
2025-09,1644.0,PG.TX.FIN.SD.DEV.08/2025,xls
2025-09,6.49,REC. MULTA,xls
2025-09,322.56,REC.CONDOMÍNIO,xls
2025-09,285.68,REC.CONDOMÍNIO,xls
2025-09,276.53,REC.CONDOMÍNIO,xls
2025-09,281.4,REC.CONDOMÍNIO,xls
2025-09,410.39,REC.CONDOMÍNIO,xls
2025-09,417.7,REC.CONDOMÍNIO,xls
2025-09,709.29,REC.CONDOMÍNIO,xls
2025-09,3871.0,PG.SÍNDICO PROF.,xls
2025-09,6.49,REC. MULTA,xls
2025-09,322.56,REC.CONDOMÍNIO,xls
2025-09,312.59,REC.CONDOMÍNIO,xls
2025-09,444.61,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,709.29,REC.CONDOMÍNIO,xls
2025-09,376.74,REC.CONDOMÍNIO,xls
2025-09,13.11,REC.MULTA+C.M.+JRS.,xls
2025-09,402.76,REC.CONDOMÍNIO,xls
2025-09,840.84,REC.CONDOMÍNIO,xls
2025-09,299.15,REC.CONDOMÍNIO,xls
2025-09,276.53,REC.CONDOMÍNIO,xls
2025-09,709.29,REC.CONDOMÍNIO,xls
2025-09,8.31,REC. MULTA,xls
2025-09,413.07,REC.CONDOMÍNIO,xls
2025-09,418.33,REC.CONDOMÍNIO,xls
2025-09,377.98,REC.CONDOMÍNIO,xls
2025-09,293.63,REC.CONDOMÍNIO,xls
2025-09,1740.0,PG.REP.GESSO,xls
2025-09,377.98,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,436.68,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,417.7,REC.CONDOMÍNIO,xls
2025-09,709.29,REC.CONDOMÍNIO,xls
2025-09,299.15,REC.CONDOMÍNIO,xls
2025-09,436.68,REC.CONDOMÍNIO,xls
2025-09,493.69,REC.CONDOMÍNIO,xls
2025-09,436.68,REC.CONDOMÍNIO,xls
2025-09,410.39,REC.CONDOMÍNIO,xls
2025-09,49.0,PG.MATERIAL,xls
2025-09,480.0,PG.INDENIZAÇÃO,xls
2025-09,52.0,PG.TRANSAÇÕES BCO.TED,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,285.68,REC.CONDOMÍNIO,xls
2025-09,286.91,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,436.68,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,568.2,REC.CONDOMÍNIO,xls
2025-09,410.39,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,568.2,REC.CONDOMÍNIO,xls
2025-09,377.98,REC.CONDOMÍNIO,xls
2025-09,410.39,REC.CONDOMÍNIO,xls
2025-09,283.21,REC.CONDOMÍNIO,xls
2025-09,293.63,REC.CONDOMÍNIO,xls
2025-09,293.63,REC.CONDOMÍNIO,xls
2025-09,281.4,REC.CONDOMÍNIO,xls
2025-09,417.7,REC.CONDOMÍNIO,xls
