mes_ano,evento,valor,tipo,source,type
2025-08,FUNDO OBRAS,1.98,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,1.98,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.02,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,3.17,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,3.32,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.06,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.07,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.83,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,6.77,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.04,,xls_fill,gap_fill
2025-08,TELHADO,24.84,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.04,,xls_fill,gap_fill
2025-08,TELHADO,24.84,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,3.39,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.83,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,3.32,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.04,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.04,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.83,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,3.1,,xls_fill,gap_fill
2025-08,FUNDO OBRAS,2.04,,xls_fill,gap_fill
